farm_density,cumulated_max_capacity
4,180900
5,59000
5,59000
4,180900
12,207500
0,0
12,207500
12,207500
12,207500
12,207500
4,57691
13,328744
6,104000
13,328744
9,165800
0,0
11,4566800
0,0
1,108500
0,0
0,0
0,0
3,32000
11,4566800
11,4566800
3,32000
9,165800
0,0
3,27000
6,38500
9,165800
11,4566800
4,36999
2,13400
2,13400
2,13400
6,38500
0,0
6,45390
6,45390
2,68000
0,0
2,68000
0,0
6,104000
6,45390
6,104000
6,45390
8,329538
6,104000
6,45390
8,211000
6,104000
6,194874
2,113290
8,329538
6,194874
2,55450
2,55450
6,194874
6,194874
1,20000
0,0
0,0
0,0
0,0
6,58100
1,135168
1,135168
0,0
1,135168
0,0
5,85500
1,135168
6,58100
1,9500
0,0
6,58100
4,114980
3,15400
1,135168
0,0
1,135168
1,135168
0,0
1,23000
6,126500
4,36999
1,23000
5,118125
0,0
19,354444
19,354444
3,59500
5,118125
19,354444
5,118125
5,118125
5,118125
19,354444
19,354444
5,119466
19,354444
4,97000
5,142500
5,47000
5,47000
0,0
0,0
6,3620600
2,17999
5,57848
6,3620600
6,3620600
8,329538
1,4999
0,0
11,78600
11,78600
11,444721
0,0
11,78600
2,22280
1,17000
2,22280
0,0
2,22280
1,4999
0,0
1,4999
1,17000
9,158500
7,545000
8,410200
9,3133190
9,158500
9,158500
9,158500
9,158500
1,19500
4,59499
3,13100
6,189473
0,0
3,145124
6,239240
0,0
3,145124
5,253200
6,189473
6,189473
6,189473
6,189473
6,189473
10,90600
11,444721
11,444721
11,444721
11,444721
1,4999
11,444721
1,4999
11,444721
1,22500
13,328744
6,104000
11,444721
11,444721
11,444721
11,444721
10,90600
1,22730
6,189473
6,189473
6,239240
6,189473
2,20000
1,22200
11,444721
6,189473
11,444721
4,106000
0,0
2,13400
5,117500
0,0
0,0
4,97000
2,13400
9,179370
4,97000
4,97000
0,0
9,158500
9,158500
9,158500
4,96504
2,29000
4,180900
5,117500
