farm_density,cumulated_max_capacity
1,20000
5,57848
0,0
4,85500
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,59000
12,207500
12,207500
0,0
0,0
2,39500
2,39500
1,18500
5,57848
1,500
1,500
1,48500
1,500
1,500
2,2000
2,39500
0,0
0,0
0,0
0,0
0,0
1,48500
1,48500
3,59500
4,42498
0,0
0,0
0,0
12,207500
5,57848
0,0
5,83164
0,0
1,48500
0,0
0,0
3,144490
0,0
0,0
1,500
0,0
0,0
0,0
0,0
0,0
5,59000
1,500
4,42498
0,0
4,42498
0,0
0,0
5,59000
4,42498
4,144550
2,700
2,24000
12,207500
0,0
1,48500
0,0
0,0
0,0
2,60000
1,4000
4,42498
0,0
0,0
2,60000
0,0
3,59500
3,144490
0,0
1,18000
2,39500
4,57691
2,13400
0,0
0,0
0,0
1,500
0,0
0,0
0,0
3,59500
3,144490
1,4000
3,144490
0,0
2,45000
4,42498
0,0
1,9000
2,700
1,48500
3,27000
0,0
0,0
1,18000
0,0
0,0
2,700
0,0
3,59500
2,700
1,18000
0,0
2,45000
0,0
0,0
1,500
2,24000
0,0
1,500
0,0
0,0
0,0
1,18000
3,59500
1,18000
5,118125
2,60000
0,0
0,0
3,59500
4,42498
0,0
1,18000
2,700
3,59500
0,0
6,38500
1,4999
0,0
0,0
1,500
0,0
1,4999
0,0
0,0
0,0
2,750000
3,144490
3,144490
2,700
0,0
1,38800
2,700
0,0
0,0
0,0
0,0
0,0
0,0
3,62900
0,0
1,18000
4,42498
0,0
1,84500
0,0
2,148003
4,144550
7,343999
0,0
4,42498
4,42498
5,161200
0,0
0,0
0,0
4,167499
0,0
4,42498
11,78600
0,0
0,0
1,40000
0,0
1,18000
1,135168
0,0
0,0
0,0
0,0
0,0
0,0
4,36999
