node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
102,1,0.0505940029523282,692534.235949091,585522.057753943,692118.469661945,585593.809348091,0.0505940029523282,0,2018.99598133951,2019.04657534247,47700000
102,103,0.176417172040481,692534.235949091,585522.057753943,693169.097415463,586102.745069837,0.176417172040481,0,2018.99598133951,2019.17239851155,47700000
103,104,0.0432150645237763,693169.097415463,586102.745069837,692576.200096857,577010.886259895,0.219632236564257,0.176417172040481,2019.17239851155,2019.21561357608,47700000
104,105,0.00167140789614456,692576.200096857,577010.886259895,692617.883487709,577091.633301445,0.221303644460402,0.219632236564257,2019.21561357608,2019.21728498397,47700000
105,131,0.000978492769737493,692617.883487709,577091.633301445,693418.985533629,575409.774942791,0.222282137230139,0.221303644460402,2019.21728498397,2019.21826347674,47700000
131,132,0.00985506152536358,693418.985533629,575409.774942791,693237.650527635,575485.317435381,0.232137198755503,0.222282137230139,2019.21826347674,2019.22811853827,47700000
132,142,0.000338273440982251,693237.650527635,575485.317435381,693581.378609179,575843.794562996,0.232475472196485,0.232137198755503,2019.22811853827,2019.22845681171,47700000
105,106,0.022023951395422,692617.883487709,577091.633301445,693076.127885289,576930.929016358,0.243327595855824,0.221303644460402,2019.21728498397,2019.23930893537,47700000
104,182,0.0332512296689467,692576.200096857,577010.886259895,698636.730731331,582460.083218773,0.252883466233204,0.219632236564257,2019.21561357608,2019.24886480575,47700000
131,155,0.0318475726556398,693418.985533629,575409.774942791,693381.10043022,575413.5165252,0.254129709885779,0.222282137230139,2019.21826347674,2019.2501110494,47700000
106,107,0.0109182998559058,693076.127885289,576930.929016358,694585.666483137,579037.598537021,0.254245895711729,0.243327595855824,2019.23930893537,2019.25022723523,47700000
142,143,0.024391725757334,693581.378609179,575843.794562996,693596.559199616,575478.022119542,0.256867197953819,0.232475472196485,2019.22845681171,2019.25284853747,47700000
132,133,0.0277117716194035,693237.650527635,575485.317435381,691731.584127872,574634.054760057,0.259848970374906,0.232137198755503,2019.22811853827,2019.25583030989,47700000
155,157,0.00676779833125746,693381.10043022,575413.5165252,693207.603643103,575504.324610966,0.260897508217037,0.254129709885779,2019.2501110494,2019.25687884773,47700000
107,108,0.00704099539602066,694585.666483137,579037.598537021,697232.650803946,578518.200792599,0.26128689110775,0.254245895711729,2019.25022723523,2019.25726823062,47700000
155,156,0.00766442702184639,693381.10043022,575413.5165252,693310.906290998,575407.743848716,0.261794136907625,0.254129709885779,2019.2501110494,2019.25777547642,47700000
182,196,0.0100460621165934,698636.730731331,582460.083218773,700102.426105845,583981.099362723,0.262929528349797,0.252883466233204,2019.24886480575,2019.25891086786,47700000
157,169,0.00205393915905511,693207.603643103,575504.324610966,693263.867800349,575919.667905717,0.262951447376092,0.260897508217037,2019.25687884773,2019.25893278689,47700000
133,137,0.00351511845351821,691731.584127872,574634.054760057,692844.367619388,580966.850049977,0.263364088828424,0.259848970374906,2019.25583030989,2019.25934542834,47700000
169,170,0.000413331454674815,693263.867800349,575919.667905717,693048.533565257,575479.337644254,0.263364778830766,0.262951447376092,2019.25893278689,2019.25934611834,47700000
196,197,0.000472598815798808,700102.426105845,583981.099362723,700183.821365604,583953.849622324,0.263402127165596,0.262929528349797,2019.25891086786,2019.25938346668,47700000
182,183,0.0112112739230242,698636.730731331,582460.083218773,698923.733276436,582327.323136885,0.264094740156228,0.252883466233204,2019.24886480575,2019.26007607967,47700000
108,119,0.00287357015784045,697232.650803946,578518.200792599,697173.103693561,578929.993249627,0.264160461265591,0.26128689110775,2019.25726823062,2019.26014180078,47700000
103,101,0.0878754610489071,693169.097415463,586102.745069837,693683.040266806,586666.648189958,0.264292633089388,0.176417172040481,2019.17239851155,2019.2602739726,47700000
106,126,0.0216990582582513,693076.127885289,576930.929016358,671970.109845806,583053.065922207,0.265026654114075,0.243327595855824,2019.23930893537,2019.26100799363,47700000
143,144,0.00831390530290738,693596.559199616,575478.022119542,692950.010522389,576311.293396522,0.265181103256726,0.256867197953819,2019.25284853747,2019.26116244277,47700000
144,146,0.000492382746004383,692950.010522389,576311.293396522,692928.262706146,576301.78033591,0.265673486002731,0.265181103256726,2019.26116244277,2019.26165482552,47700000
157,158,0.00477912638692563,693207.603643103,575504.324610966,693042.985497283,575661.597530296,0.265676634603962,0.260897508217037,2019.25687884773,2019.26165797412,47700000
119,123,0.00167465806735162,697173.103693561,578929.993249627,697733.053205362,578189.052846205,0.265835119332942,0.264160461265591,2019.26014180078,2019.26181645885,47700000
108,109,0.00470573886656978,697232.650803946,578518.200792599,671861.364339482,596191.580201176,0.26599262997432,0.26128689110775,2019.25726823062,2019.26197396949,47700000
183,184,0.00219372504787602,698923.733276436,582327.323136885,699006.406052387,582346.35995282,0.266288465204104,0.264094740156228,2019.26007607967,2019.26226980472,47700000
107,125,0.0129396806598623,694585.666483137,579037.598537021,694551.053898826,578729.360877713,0.267185576371592,0.254245895711729,2019.25022723523,2019.26316691588,47700000
146,147,0.00190909244106796,692928.262706146,576301.78033591,692859.275239974,576133.514247885,0.267582578443799,0.265673486002731,2019.26165482552,2019.26356391796,47700000
197,199,0.00664287474048392,700183.821365604,583953.849622324,699670.366346854,583569.88038338,0.27004500190608,0.263402127165596,2019.25938346668,2019.26602634142,47700000
199,200,0.00265708396784203,699670.366346854,583569.88038338,699758.562848403,583351.162582241,0.272702085873922,0.27004500190608,2019.26602634142,2019.26868342539,47700000
147,148,0.00709969466281329,692859.275239974,576133.514247885,692346.896018438,575913.085647901,0.274682273106612,0.267582578443799,2019.26356391796,2019.27066361262,47700000
143,154,0.0186232463632114,693596.559199616,575478.022119542,691529.56421955,557660.088237538,0.27549044431703,0.256867197953819,2019.25284853747,2019.27147178383,47700000
170,171,0.014472645719614,693048.533565257,575479.337644254,689315.653784113,574995.997482175,0.27783742455038,0.263364778830766,2019.25934611834,2019.27381876406,47700000
199,201,0.0104723523259964,699670.366346854,583569.88038338,699507.298460862,583514.487053384,0.280517354232076,0.27004500190608,2019.26602634142,2019.27649869375,47700000
183,185,0.0201487368498328,698923.733276436,582327.323136885,698802.281320418,582577.366372428,0.284243477006061,0.264094740156228,2019.26007607967,2019.28022481652,47700000
109,110,0.0223828390483069,671861.364339482,596191.580201176,673493.139996988,598992.762843985,0.288375469022627,0.26599262997432,2019.26197396949,2019.28435680854,47700000
137,140,0.0259338472749515,692844.367619388,580966.850049977,692835.741343636,580913.727126884,0.289297936103376,0.263364088828424,2019.25934542834,2019.28527927562,47700000
158,160,0.0240863409753329,693042.985497283,575661.597530296,700453.210815093,571333.578763027,0.289762975579295,0.265676634603962,2019.26165797412,2019.28574431509,47700000
140,141,0.00135521204985142,692835.741343636,580913.727126884,692768.034191858,580836.256835495,0.290653148153227,0.289297936103376,2019.28527927562,2019.28663448767,47700000
126,127,0.0263740923558323,671970.109845806,583053.065922207,671451.738047534,589099.134458741,0.291400746469907,0.265026654114075,2019.26100799363,2019.28738208598,47700000
158,159,0.0281185108793227,693042.985497283,575661.597530296,669269.78687696,565121.428156315,0.293795145483285,0.265676634603962,2019.26165797412,2019.289776485,47700000
119,120,0.0296439526723098,697173.103693561,578929.993249627,697800.313206325,580533.333242038,0.2938044139379,0.264160461265591,2019.26014180078,2019.28978575345,47700000
154,50,0.0189391750737436,691529.56421955,557660.088237538,691130.977634109,556598.28995437,0.294429619390774,0.27549044431703,2019.27147178383,2019.2904109589,47700000
140,35,0.00513168328739802,692835.741343636,580913.727126884,692862.761970303,581147.982870883,0.294429619390774,0.289297936103376,2019.28527927562,2019.2904109589,47700000
