farm_density,cumulated_max_capacity
4,180900
5,59000
2,22280
5,59000
4,180900
5,59000
5,59000
5,59000
5,59000
5,59000
11,4566800
2,750000
2,750000
0,0
2,750000
6,45390
2,13400
6,836517
0,0
2,68000
6,45390
6,104000
6,194874
8,329538
6,194874
6,104000
8,329538
6,194874
8,211000
8,329538
2,113290
6,194874
6,194874
6,194874
6,194874
1,20000
6,104000
6,45390
2,13400
2,750000
0,0
10,90600
0,0
9,165800
9,165800
11,4566800
9,165800
11,4566800
1,108500
9,165800
9,165800
9,165800
3,27000
9,165800
9,165800
6,38500
11,4566800
11,4566800
11,4566800
3,32000
4,36999
2,13400
2,13400
2,13400
6,38500
0,0
4,57691
12,207500
5,117500
5,59000
5,117500
5,117500
12,207500
5,59000
9,179370
5,57848
5,57848
2,113900
9,158500
2,113900
0,0
4,97000
9,158500
4,96504
2,44600
0,0
2,22280
0,0
8,69999
4,59499
6,58100
3,13100
6,58100
6,58100
3,15400
4,114980
0,0
4,114980
1,135168
1,135168
5,85500
1,135168
0,0
1,135168
0,0
2,44600
1,4999
0,0
8,211000
2,22280
2,22280
19,354444
5,118125
5,118125
3,59500
5,118125
5,118125
5,119466
0,0
5,142500
5,47000
0,0
5,118125
5,118125
5,118125
5,118125
19,354444
5,119466
3,59500
0,0
19,354444
4,97000
2,22280
6,126500
2,17999
2,22280
6,3620600
2,29000
6,3620600
6,3620600
4,36999
6,126500
8,329538
1,4999
11,444721
6,189473
1,22730
6,189473
2,20000
6,189473
11,444721
6,189473
11,444721
4,106000
1,22200
2,20000
6,189473
6,189473
7,104000
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
11,444721
6,189473
11,444721
11,444721
11,444721
11,444721
6,104000
11,444721
6,104000
13,328744
4,15200
5,253200
6,239240
0,0
0,0
3,145124
1,31250
2,22280
8,410200
1,84500
1,19500
7,545000
9,158500
1,19500
9,158500
9,158500
9,158500
9,158500
0,0
2,22280
1,4999
2,22280
0,0
1,4999
