farm_density,cumulated_max_capacity
4,180900
4,180900
4,180900
4,180900
1,4999
1,4999
2,40000
4,85500
2,60000
2,18699
2,60000
2,60000
4,85500
1,1500
1,80
0,0
2,18699
5,59000
1,1500
4,85500
0,0
5,85500
4,85500
0,0
1,4999
0,0
1,4999
2,60000
0,0
1,4999
0,0
5,85500
5,85500
5,85500
3,771000
0,0
1,4999
1,4999
0,0
3,771000
0,0
3,771000
0,0
3,771000
1,1500
5,85500
0,0
0,0
0,0
0,0
0,0
5,253200
2,18699
0,0
4,85500
1,1500
1,1500
0,0
5,99950
0,0
5,85500
0,0
0,0
0,0
8,141500
3,59500
0,0
5,99950
5,85500
2,36000
5,99950
0,0
5,99950
0,0
2,60000
0,0
5,99950
5,85500
0,0
8,141500
0,0
1,0
0,0
3,59500
0,0
0,0
0,0
0,0
3,771000
0,0
0,0
1,250
8,141500
1,1500
0,0
0,0
0,0
0,0
5,99950
0,0
5,85500
1,20000
0,0
0,0
0,0
0,0
0,0
0,0
8,141500
0,0
0,0
0,0
2,36000
0,0
0,0
0,0
0,0
3,771000
3,59500
0,0
0,0
0,0
0,0
2,40000
1,1500
2,36000
0,0
0,0
1,8040
5,99950
0,0
8,141500
2,36000
0,0
5,99950
5,85500
0,0
8,141500
0,0
0,0
0,0
0,0
0,0
0,0
5,85500
0,0
0,0
0,0
0,0
0,0
0,0
8,37248
0,0
5,85500
0,0
0,0
0,0
5,71500
4,85500
0,0
5,85500
0,0
1,16000
1,500
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,6000
1,29500
0,0
0,0
1,29500
8,37248
8,37248
1,1500
0,0
1,8040
0,0
0,0
0,0
2,5500
0,0
0,0
0,0
0,0
0,0
1,6000
0,0
1,6000
0,0
5,85500
1,17000
11,322000
5,20050
